id,full name,code,acronym,country,finantial
3095,Kalitta Charters,,KALITTA,United States,N
3096,Kallat El Saker Air Company,,KALLAT EL SKER,Libya,N
3097,Kam Air,RQ,KAMGAR,Afghanistan,Y
3098,Kampuchea Airlines,E2,KAMPUCHEA,Cambodia,N
3099,Kanaf-Arkia Airlines,,,Israel,N
3100,Kanfey Ha'emek Aviation,,KANFEY HAEMEK,Israel,N
3101,Kansas State University,,K-STATE,United States,N
3102,Karat,V2,AVIAKARAT,Russia,N
3103,Karibu Airways Company,,KARIBU AIR,Tanzania,N
3104,Karlog Air Charter,,KARLOG,Denmark,N
3105,Karthago Airlines,,KARTHAGO,Tunisia,N
3106,Kartika Airlines,,KARTIKA,Indonesia,N
3107,Kata Transportation,,KATAVIA,Sudan,N
3108,Katekavia,,KATEKAVIA,Russia,N
3109,Kato Airline,,KATO-AIR,Norway,N
3110,Kavminvodyavia,KV,AIR MINVODY,Russia,Y
3111,Kavouras Inc,,,United States,N
3112,Kaz Agros Avia,,ANTOL,Kazakhstan,N
3113,Kaz Air West,,KAZWEST,Kazakhstan,N
3114,Kazan Aviation Production Association,,KAZAVAIA,Russia,N
3115,Kazan Helicopters,,KAMA,Russia,N
3116,Kazavia,,KAKAIR,Kazakhstan,N
3117,Kazaviaspas,,SPAKAZ,Kazakhstan,N
3118,Keenair Charter -,,KEENAIR,United Kingdom,N
3119,Kelix Air,,KELIX,Nigeria,N
3120,Kelner Airways,,KELNER,Canada,N
3121,Kelowna Flightcraft Air Charter,,FLIGHTCRAFT,Canada,N
3122,Kendell Airlines,,KENDELL,Australia,Y
3123,Kenmore Air,M5,KENMORE,United States,Y
3124,Kenn Borek Air,,BOREK AIR,Canada,N
3125,Kent Aviation,,DEKAIR,Canada,N
3126,Kenya Airways,KQ,KENYA,Kenya,Y
3127,Kevis,,KEVIS,Kazakhstan,N
3128,Key Airlines,,KEY AIR,United States,N
3129,Key Lime Air,,KEY LIME,United States,N
3130,Keystone Aerial Surveys,,FOOTPRINT,United States,N
3131,Keystone Air Services,BZ,KEYSTONE,Canada,N
3132,Khalifa Airways,,KHALIFA AIR,Algeria,N
3133,Kharkov Aircraft Manufacturing Company,,WEST-KHARKOV,Ukraine,N
3134,Khazar,,KHAZAR,Turkmenistan,N
3135,Khoezestan Photros Air Lines,,PHOTROS AIR,Iran,N
3136,Khoriv-Avia,,KHORIV-AVIA,Ukraine,N
3137,Khors Aircompany,,AIRCOMPANY KHORS,Ukraine,N
3138,Khyber Afghan Airlines,,KHYBER,Afghanistan,N
3139,Kiev Aviation Plant,,AVIATION PLANT,Ukraine,N
3140,King Aviation,,KING,United Kingdom,N
3141,Kingfisher Air Services,,SEA BREEZE,United States,N
3142,Kingfisher Airlines,IT,KINGFISHER,India,Y
3143,Knighthawk Air Express,,KNIGHT FLIGHT,Canada,N
3144,Kingston Air Services,,KINGSTON AIR,Canada,N
3145,Kinnarps,,KINNARPS,Sweden,N
3146,Kinshasa Airways,,KINSHASA AIRWAYS,Democratic Republic of the Congo,N
3147,Kirov Air Enterprise,,VYATKA-AVIA,Russia,N
3148,Kish Air,Y9,KISHAIR,Iran,Y
3149,Kitty Hawk Aircargo,,AIR KITTYHAWK,United States,N
3150,Kitty Hawk Airways,,CARGO HAWK,United States,N
3151,Kiwi International Air Lines,KP,KIWI AIR,United States,N
3152,Knight Air,,KNIGHTAIR,Canada,N
3153,Knighthawk Express,,RIZZ,United States,N
3154,Knights Airlines,,KNIGHT-LINER,Nigeria,N
3155,Koanda Avacion,,KOANDA,Spain,N
3156,Koda International,,KODA AIR,Nigeria,N
3157,Kogalymavia Air Company,7K,KOGALYM,Russia,Y
3158,Kom Activity,,COMJET,Netherlands,N
3159,Komiaviatrans State Air Enterprise,,KOMI AVIA,Russia,N
3160,Komiinteravia,8J,KOMIINTER,Russia,N
3161,Komsomolsk-on-Amur Air Enterprise,,KNAAPO,Russia,N
3162,Koob-Corp - 96 KFT,,AUTOFLEX,Hungary,N
3163,Korean Air,KE,KOREANAIR,Republic of Korea,Y
3164,Kosmas Air,,KOSMAS CARGO,Serbia,N
3165,Kosmos,,KOSMOS,Russia,Y
3166,Kosova Airlines,,KOSOVA,Serbia,N
3167,Kovar Air,,WOKAIR,Czech Republic,N
3168,Krasnojarsky Airlines,7B,KRASNOJARSKY AIR,Russia,Y
3169,Kremenchuk Flight College,,KREMENCHUK,Ukraine,N
3170,Krimaviamontag,,AVIAMONTAG,Ukraine,N
3171,Kroonk Air Agency,,KROONK,Ukraine,N
3172,Krylo Airlines,K9,Krylo,Russia,N
3173,Krym,,CRIMEA AIR,Ukraine,N
3174,Krystel Air Charter,,OPTIC,United Kingdom,N
3175,Kuban Airlines,GW,AIR KUBAN,Russia,Y
3176,Kunpeng Airlines,VD,KUNPENG,China,N
3177,Kurzemes Avio,,,Russia,N
3178,Kustbevakningen,,SWECOAST,Sweden,N
3179,Kuwait Airways,KU,KUWAITI,Kuwait,Y
3180,Kuzu Airlines Cargo,GO,KUZU CARGO,Turkey,Y
3181,Kvadro Aero,,PEGASO,Kyrgyzstan,N
3182,Kwena Air,,KWENA,South Africa,N
3183,Kyrgyz Airlines,N5,BERMET,Kyrgyzstan,N
3184,Kyrgyz Trans Avia,,DINARA,Kyrgyzstan,N
3185,Kyrgyzstan,QH,ALTYN AVIA,Kyrgyzstan,N
3186,Kyrgyzstan Airlines,R8,KYRGYZ,Kyrgyzstan,N
3187,Kyrgyzstan Department of Aviation,,FLIGHT RESCUE,Kyrgyzstan,N
3188,Kyrgz General Aviation,,KEMIN,Kyrgyzstan,N
3189,Kibris T,KY,AIRKIBRIS,Turkey,N
3190,L A Helicopter,,STAR SHIP,United States,N
3191,L J Aviation,,ELJAY,United States,N
3192,L R Airlines,,LADY RACINE,Czech Republic,N
3193,L&L Flygbildteknik,,PHOTOFLIGHT,Sweden,N
3194,L'Express,,LEX,United States,N
3195,L-3 Communications Flight Internation Aviation,,FLIGHT INTERNATIONAL,United States,N
3196,L.A.B. Flying Service,JF,LAB,United States,N
3197,LACSA,LR,LACSA,Costa Rica,Y
3198,LADE - Lineas Aereas Del Estado,,LADE,Argentina,N
3199,LAI - Linea Aerea IAACA,KG,AIR BARINAS,Venezuela,N
3200,LAN Airlines,LA,LAN,Chile,Y
3201,LAN Argentina,4M,LAN AR,Argentina,Y
3202,LAN Cargo,,LAN CARGO,Chile,N
3203,LAN Dominica,,LANCANA,Dominican Republic,N
3204,LAN Express,LU,LANEX,Chile,Y
3205,LAN Peru,LP,LANPERU,Peru,Y
3206,LANSA,,INTERNACIONAL,Dominican Republic,N
3207,LAP Colombia - Lineas Aereas Petroleras,, S.A.,LAP,N
3208,LASTP,,LASTP,S,N
3209,LC Busre,,BUSRE,Peru,N
3210,LOT Polish Airlines,LO,POLLOT,Poland,Y
3211,LTE International Airways,XO,FUN JET,Spain,Y
3212,LTU Austria,L3,BILLA TRANSPORT,Austria,Y
3213,LTU International,LT,LTU,Germany,N
3214,LTV Jet Fleet Corporation,,JET-FLEET,United States,N
3215,LUKoil-Avia,,LUKOIL,Russia,N
3216,La Ronge Aviation Services,,AIR SASK,Canada,N
3217,La Valenciana Taxi Aereo,,TAXIVALENCIANA,Mexico,N
3218,Labcorp,,SKYLAB,United States,N
3219,Labrador Airways,,LAB AIR,Canada,N
3220,Lagun Air,N6,,Spain,N
3221,Lake Havasu Air Service,,HAVASU,United States,N
3222,Lakeland Aviation,,LAKELAND,United States,N
3223,Laker Airways,,LAKER,United States,N
3224,Laker Airways (Bahamas),,LAKER BAHAMAS,United States,N
3225,Lamra,,LAMAIR,Sudan,N
3226,Lanaes Aereas Trans Costa Rica,,TICOS,Costa Rica,N
3227,Landsflug,,ISLANDIA,Iceland,N
3228,Langtry Flying Group,,PROFLIGHT,United Kingdom,N
3229,Lankair,IK,Lankair,Sri Lanka,N
3230,Lanza Air,,AEROLANZA,Spain,N
3231,Lanzarote Aerocargo,,BARAKA,Spain,N
3232,Lao Air Company,,LAVIE,Lao Peoples Democratic Republic,N
3233,Lao Airlines,QV,LAO,Lao Peoples Democratic Republic,Y
3234,Lao Capricorn Air,,NAKLOA,Lao Peoples Democratic Republic,N
3235,Laoag International Airlines,L7,LAOAG AIR,Philippines,N
3236,Laredo Air,,LAREDO AIR,United States,N
3237,LatCharter,,LATCHARTER,Latvia,Y
3238,Latvian Air Force,,LATVIAN AIRFORCE,Latvia,N
3239,Lauda Air,NG,LAUDA AIR,Austria,Y
3240,Lauda Air Italy,,LAUDA ITALY,Italy,N
3241,Laughlin Express,,LAUGHLIN EXPRESS,United States,N
3242,Laus,,LAUS AIR,Croatia,N
3243,Lawrence Aviation,,LAWRENCE,United States,N
3244,Layang-Layang Aerospace,,LAYANG,Malaysia,N
3245,Lease-a-Plane International,,LEASE-A-PLANE,United States,N
3246,Lebanese Air Transport,LQ,LAT,Lebanon,N
3247,Lebanese Air Transport (Charter),,LEBANESE AIR,Lebanon,N
3248,Lebanon Airport Development Corporation,,LADCO-AIR,United States,N
3250,Leconte Airlines,,LECONTE,United States,N
3251,Leeward Islands Air Transport,LI,LIAT,Antigua and Barbuda,Y
3252,Legend Airlines,,LEGENDARY,United States,N
3253,Leisure Air,,LEISURE WORLD,United States,N
3254,Lentini Aviation,,LENTINI,United States,N
3255,Leo-Air,,LEO CHARTER,South Africa,N
3256,Leonsa De Aviacion,,LEONAVIA,Spain,N
3257,Libyan Airlines,,LIBYAN AIRWAYS,Libya,N
3258,Libyan Arab Airlines,LN,LIBAIR,Libya,Y
3259,Libyan Arab Air Cargo,,LIBAC,Libya,N
3260,Lid Air,,,Sweden,N
3261,Lignes Aeriennes Congolaises,,CONGOLAISE,Democratic Republic of the Congo,N
3262,Lignes Aeriennes Du Tchad,,LATCHAD,Chad,N
3263,Lignes Mauritaniennes Air Express,,LIMAIR EXPRESS,Mauritania,N
3264,Lignes Nationales Aeriennes - Linacongo,,LINACONGO,Republic of the Congo,N
3265,Lincoln Air National Guard,,,United States,N
3266,Lincoln Airlines,,,Australia,N
3267,Lindsay Aviation,,LINDSAY AIR,United States,N
3268,Linea Aerea Costa Norte,,COSTA NORTE,Chile,N
3269,Linea Aerea Mexicana de Carga,,LINEAS DECARGA,Mexico,N
3270,Linea Aerea SAPSA,L7,SAPSA,Chile,N
3271,Linea Aerea de Fumig Aguas Negras,,AGUAS NEGRAS,Chile,N
3272,Linea Aerea de Servicio Ejecutivo Regional,8z,LASER,Venezuela,N
3273,Linea De Aeroservicios,,,Chile,N
3274,Linea Turistica Aerotuy,LD,AEREOTUY,Venezuela,N
3275,Lineas Aereas Alaire S.L.,,AEROLAIRE,Spain,N
3276,Lineas Aereas Azteca,ZE,LINEAS AZTECA,Mexico,N
3277,Lineas Aereas Canedo LAC,,CANEDO,Bolivia,N
3278,Lineas Aereas Comerciales,,LINEAS COMERCIALES,Mexico,N
3279,Lineas Aereas Ejectuivas De Durango,,LINEAS DURANGO,Mexico,N
3280,Lineas Aereas Eldorado,,ELDORADRO,Colombia,N
3281,Lineas Aereas Federales,,FEDERALES,Argentina,N
3282,Lineas Aereas Monarca,,LINEAS MONARCA,Mexico,N
3283,Lineas Aereas San Jose,,LINEAS JOSE,Mexico,N
3284,Lineas Aereas del Humaya,,HUMAYA,Mexico,N
3285,Linex,,LECA,Central African Republic,N
3286,Linhas Aereas Santomenses,,SANTOMENSES,S,N
3287,Linhas A,LM,MOZAMBIQUE,Mozambique,Y
3288,Link Airways of Australia,,,Australia,N
3289,Lion Air Services,,WORLDGATE,United Kingdom,N
3290,Lion Mentari Airlines,JT,LION INTER,Indonesia,Y
3291,Lions-Air,,LIONSAIR,Switzerland,N
3292,Lithuanian Air Force,,LITHUANIAN AIRFORCE,Lithuania,N
3293,Little Red Air Service,,LITTLE RED,Canada,N
3294,Livingston,LM,LIVINGSTON,Italy,N
3295,Lloyd Aereo Boliviano,LB,LLOYDAEREO,Bolivia,N
3296,Lnair Air Services,,ELNAIR,Spain,N
3297,Lockheed Air Terminal,,,United States,N
3298,Lockeed Aircraft Corporation,,LOCKHEED,United States,N
3299,Lockheed DUATS,,,United States,N
3300,Lockheed Martin Aeronautics,,CATBIRD,United States,N
3301,Lockheed Martin Aeronautics Company,,LIGHTNING,United States,N
3302,Logan Air,,LOGAN,United Kingdom,N
3303,Lom Praha Flying School,,AEROTRAINING,Czech Republic,N
3304,Lomas Helicopters,,LOMAS,United Kingdom,N
3305,London City Airport Jet Centre,,LONDON CITY,United Kingdom,N
3306,London Executive Aviation,,LONEX,United Kingdom,N
3307,London Flight Centre (Stansted),,LOVEAIR,United Kingdom,N
3308,London Helicopter Centres,,MUSTANG,United Kingdom,N
3309,Lone Star Airlines,,LONE STAR,United States,N
3310,Long Island Airlines,,LONG ISLAND,United States,N
3311,Longtail Aviation,,LONGTAIL,Bermuda,N
3312,Lorraine Aviation,,LORRAINE,France,N
3313,Los Cedros Aviacion,,CEDROS,Chile,N
3314,Lotus Air,,LOTUS FLOWER,Egypt,N
3315,Luchtvaartmaatschappij Twente,,TWENTAIR,Netherlands,N
3316,Lucky Air,,LUCKY AIR,China,N
3317,Luft Carago,,LUGO,South Africa,N
3318,Luftfahrt-Vermietungs-Dienst,,AIR SANTE,Austria,N
3319,Luftfahrtgesellschaft Walter,HE,WALTER,Germany,Y
3320,Lufthansa,LH,LUFTHANSA,Germany,Y
3321,Lufthansa Cargo,LH,LUFTHANSA CARGO,Germany,Y
3322,Lufthansa CityLine,CL,HANSALINE,Germany,Y
3323,Lufthansa Systems,L1,,Germany,N
3324,Lufthansa Technik,,LUFTHANSA TECHNIK,Germany,N
3325,Lufttaxi Fluggesellschaft,DV,Garfield,Germany,N
3326,Lufttransport,L5,LUFT TRANSPORT,Norway,Y
3327,Luhansk,,ENTERPRISE LUHANSK,Ukraine,N
3328,Lund University School of Aviation,,UNIVERSITY,Sweden,N
3329,Luxair,LG,LUXAIR,Luxembourg,Y
3330,Luxaviation,,RED LION,Luxembourg,N
3331,Luxembourg Air Rescue,,LUX RESCUE,Luxembourg,N
3332,Luxflight Executive,,LUX EXPRESS,Luxembourg,N
3333,Luxor Air,,,Egypt,N
3334,Luzair,,LISBON JET,Portugal,N
3335,Lviv Airlines,5V,UKRAINE WEST,Ukraine,N
3336,Lydd Air,,LYDDAIR,United Kingdom,N
3337,Lynch Flying Service,,LYNCH AIR,United States,N
3338,Lynden Air Cargo,L2,LYNDEN,United States,N
3339,Lynx Air International,,LYNX FLIGHT,United States,N
3340,Lynx Aviation,,LYNX AIR,Pakistan,N
3342,L,MJ,LAPA,Argentina,Y
3343,L,,SURAMERICANO,Colombia,N
3344,M & N Aviation,,JONAH,United States,N
3345,MAC Fotografica,,MAC FOTO,Spain,N
3346,MANAG'AIR,,MANAG'AIR,France,N
3347,MAP-Management and Planung,,MAPJET,Austria,N
3348,MAS Airways,,TRAFALGAR,United Kingdom,N
3349,MasAir,M7,MAS CARGA,Mexico,Y
3350,MAT Macedonian Airlines,IN,MAKAVIO,Macedonia,Y
3351,MCC Aviation,,DISCOVERY,South Africa,N
3352,MG Aviacion,,MAG AVACION,Spain,N
3353,MIA Airlines,,SALLINE,Romania,N
3354,MIAT Mongolian Airlines,OM,MONGOL AIR,Mongolia,Y
3355,MIT Airlines,,MUNCIE,Canada,N
3356,MK Airline,,KRUGER-AIR,Ghana,N
3357,MNG Airlines,MB,BLACK SEA,Turkey,Y
3358,MSR Flug-Charter,,SKYRUNNER,Germany,N
3359,MTC Aviacion,,MTC AVIACION,Mexico,N
3360,Mac Aviation,,MAC AVIATION,Spain,N
3361,Mac Dan Aviation Corporation,,MAC DAN,United States,N
3362,MacKnight Airlines,,,Australia,N
3363,Macair Airlines,CC,,Australia,Y
3364,Macedonian Airlines,,MACAIR,Greece,N
3365,Madina Air,,MADINA AIR,Libya,N
3366,Maersk,DM,,Denmark,Y
3367,Magic Blue Airlines,,MAGIC BLUE,Netherlands,N
3368,Magna Air,,MAGNA AIR,Austria,N
3369,Mahalo Air,,MAHALO,United States,N
3370,Mahan Air,W5,MAHAN AIR,Iran,Y
3371,Mahfooz Aviation,M2,MAHFOOZ,Gambia,N
3372,Maine Aviation,,MAINE-AV,United States,N
3373,Majestic Airlines,,MAGIC AIR,United States,N
3374,Mak Air,,MAKAIR,Kazakhstan,N
3375,Malagasy Airlines,,,Madagascar,N
3376,Malawi Express,,MALAWI EXPRESS,Malawi,N
3377,Malaya Aviatsia Dona,,AEROKEY,Russia,N
3378,Malaysia Airlines,MH,MALAYSIAN,Malaysia,Y
3379,Mali Air,,MALI AIREXPRESS,Austria,N
3380,Mali Air Express,,AVION EXPRESS,Mali,N
3381,Mali Airways,,MALI AIRWAYS,Mali,N
3382,Malila Airlift,,MALILA,Democratic Republic of the Congo,N
3383,Mall Airways,,MALL-AIRWAYS,United States,N
3384,Malmo Aviation,,SCANWING,Sweden,Y
3385,Malmoe Air Taxi,,LOGIC,Sweden,N
3386,Malm옔 Aviation,TF,Scanwings,Sweden,Y
3387,Malta Air Charter,R5,MALTA CHARTER,Malta,Y
3388,Malta Wings,,MALTA WINGS,Malta,N
3389,Mal똿v,MA,MALEV,Hungary,Y
3390,Manaf International Airways,,MANAF,Burundi,N
3391,Mandala Airlines,RI,MANDALA,Indonesia,Y
3392,Mandarin Airlines,AE,Mandarin,Taiwan,Y
3393,Mango,JE,TULCA,South Africa,Y
3394,Manhattan Air,,MANHATTAN,United Kingdom,N
3395,Manitoulin Air Services,,MANITOULIN,Canada,N
3396,Mann Air,,TEEMOL,United Kingdom,N
3397,Mannion Air Charter,,MANNION,United States,N
3398,Mantrust Asahi Airways,,MANTRUST,Indonesia,N
3399,Manx Airlines,,MANX,United Kingdom,N
3400,Maple Air Services,,MAPLE AIR,Canada,N
3401,March Helicopters,,MARCH,United Kingdom,N
3402,Marcopolo Airways,,MARCOPOLO,Afghanistan,N
3403,Marghi Air,,MARGHI,Nigeria,N
3404,Markair,,MARKAIR,United States,N
3405,Markoss Aviation,,GOSHAWK,United Kingdom,N
3406,Mars RK,6V,AVIAMARS,Ukraine,N
3407,Marshall Aerospace,,MARSHALL,United Kingdom,N
3408,Marsland Aviation,M7,MARSLANDAIR,Sudan,N
3409,Martin Aviation Services,,,United States,N
3410,Martin-Baker,,MARTIN,United Kingdom,N
3411,Martinair,MP,MARTINAIR,Netherlands,Y
3412,Martinaire,,MARTEX,United States,N
3413,Martyn Fiddler Associates,,SEAHORSE,United Kingdom,N
3414,Marvin Limited,,MARVIN,United Kingdom,N
3415,Maryland State Police,,TROOPER,United States,N
3416,Massachusetts Institute of Technology,,RESEARCH,United States,N
3417,Massey University School of Aviation,,MASSEY,New Zealand,N
3418,Master Airways,,MASTER AIRWAYS,Serbia,N
3419,Master Planner,,,United States,N
3420,Masterjet,,MASTERJET,Portugal,N
3421,Mastertop Linhas Aereas,Q4,,Brazil,N
3422,Mauria,,MAURIA,Mauritania,N
3423,Mauritanienne Aerienne Et Navale,,NAVALE,Mauritania,N
3424,Mauritanienne Air Fret,,MAUR-FRET,Mauritania,N
3425,Mauritanienne Airways,,MAURITANIENNE,Mauritania,N
3426,Mauritanienne De Transport Aerien,,MAURI-TRANS,Mauritania,N
3427,Maverick Airways,,MAV-AIR,United States,N
3428,Mavial Magadan Airlines,H5,Mavial,Russia,N
3429,Max Avia,,MAX AVIA,Kyrgyzstan,N
3430,Max Sea Food,,MAXESA,El Salvador,N
3431,Max-Aviation,,MAX AVIATION,Canada,N
3432,Maxair,8M,MAXAIR,Sweden,Y
3433,Maximus Air Cargo,,CARGO MAX,United Arab Emirates,N
3434,Maxjet Airways,MY,MAX-JET,United States,N
3435,Maxsus-Avia,,MAXSUS-AVIA,Uzbekistan,N
3436,May Air Xpress,,BEECHNUT,United States,N
3437,Maya Island Air,MW,MYLAND,Belize,Y
3438,Mayair,,MAYAIR,Mexico,N
3439,Mbach Air,,MBACHI AIR,Malawi,N
3440,McAlpine Helicopters,,MACLINE,United Kingdom,N
3441,McCall Aviation,,MCCALL,United States,N
3442,McDonnell Douglas,,DACO,United States,N
3443,McNeely Charter Services,,MID-SOUTH,United States,N
3444,Med-Trans of Florida,,MED-TRANS,United States,N
3445,Medavia Company,,MEDAVIA,Malta,N
3446,Medical Air Rescue Services,,MARS,Zimbabwe,N
3447,Medical Aviation Services,,MEDIC,United Kingdom,N
3448,Mediterranean Air Freight,,MED-FREIGHT,Greece,N
3449,Mediterranean Airways,,,Egypt,N
3450,Medjet International,,MEDJET,United States,N
3451,Mega,,MEGLA,Kazakhstan,N
3452,Mega Linhas Aereas,,MEGA AIR,Brazil,N
3453,Mekong Airlines,,MEKONG AIRLINES,Cambodia,N
3454,Menajet,IM,MENAJET,Lebanon,N
3456,Merchant Express Aviation,,MERCHANT,Nigeria,N
3457,Mercury Aircourier Service,,MERCAIR,United States,N
3458,Meridian,,AIR POLTAVA,Ukraine,N
3459,Meridian Air Cargo,,MERIDIAN,United States,N
3460,Meridian Airlines,,HASSIMAIR,Nigeria,N
3461,Meridian Aviation,,DIESEL,United Kingdom,N
3462,Meridian Limited,,MERIDIAN CHERRY,Ukraine,N
3463,Meridiana,IG,MERAIR,Italy,Y
3464,Merlin Airways,,AVALON,United States,N
3465,Merpati Nusantara Airlines,MZ,MERPATI,Indonesia,Y
3466,Mesa Airlines,YV,AIR SHUTTLE,United States,Y
3467,Mesaba Airlines,XJ,MESABA,United States,Y
3468,Meta Linhas A,,META,Brazil,N
3469,Meteorological Research Flight,,METMAN,United Kingdom,N
3470,Methow Aviation,,METHOW,United States,N
3471,Metro Business Aviation,,,United Kingdom,N
3472,Metro Express,,EAGLE EXPRESS,United States,N
3473,Metroflight,,METRO,United States,N
3474,Metrojet,,METROJET,Hong Kong SAR of China,N
3475,Metropix UK,,METROPIX,United Kingdom,N
3476,Metroplis,,METRO REGIONAL,Netherlands,N
3477,Mex Blue,,MEX BLUE,Mexico,N
3478,Mex-Jet,,MEJETS,Mexico,N
3479,Mexicana de Aviaci,MX,MEXICANA,Mexico,Y
3480,Mexico Transportes Aereos,,TRANSMEX,Mexico,N
3481,Miami Air Charter,,HURRICANE CHARTER,United States,N
3482,Miami Air International,GL,BISCAYNE,United States,N
3483,Miami Valley Aviation,,NIGHT OWL,United States,N
3484,Miapet-Avia,,MIAPET,Armenia,N
3485,Michelin Air Services,,,France,N
3486,Micromatter Technology Solutions,,WIZARD,United Kingdom,N
3487,Mid Airlines,,NILE,Sudan,N
3488,Mid-Pacific Airlines,,MID PAC,United States,N
3489,Midamerica Jet,,MAJOR,United States,N
3490,Middle East Airlines,ME,CEDAR JET,Lebanon,Y
3491,Midland Airport Services,,,United Kingdom,N
3492,Midline Air Freight,,MIDLINE FREIGHT,United States,N
3493,Midstate Airlines,,MIDSTATE,United States,N
3494,Midway Airlines,JI,MIDWAY,United States,Y
3495,Midway Express,,PALM,United States,N
3496,Midwest Air Freighters,,FAIRFAX,United States,N
3497,Midwest Airlines,YX,,United States,Y
3498,Midwest Airlines (Egypt),MY,,Egypt,Y
3499,Midwest Aviation,,NIGHTTRAIN,United States,N
3500,Midwest Aviation Division,,MIDWEST,United States,N
3501,Midwest Helicopters De Mexico,,HELICOPTERSMEXICO,Mexico,N
3502,Millardair,,MILLARDAIR,Canada,N
3503,Millen Corporation,,MILLEN,United Kingdom,N
3504,Millennium Air,,NIGERJET,Nigeria,N
3505,Miller Flying Services,,MILLER TIME,United States,N
3506,Million Air,,MILL AIR,United States,N
3507,Mimino,,MIMINO,Russia,N
3508,Mina Airline Company,,,Egypt,N
3509,Minair,,ORMINE,Central African Republic,N
3510,Minebea Technologies,,MINEBEA,United States,N
3511,Mines Air Services Zambia,,MINES,Zambia,N
3512,Miniliner,,MINILINER,Italy,N
3513,Ministic Air,,MINISTIC,Canada,N
3514,Ministry of Agriculture,, Fisheries and Food,WATCHDOG,N
3515,Minsk Aircraft Overhaul Plant,,LISLINE,Belarus,N
3516,Miramichi Air Service,,MIRAMICHI,Canada,N
3517,Miras,,MIRAS,Kazakhstan,N
3518,Misr Overseas Airways,,,Egypt,N
3519,Mission Aviation Fellowship,,MISSI,Indonesia,N
3520,Missionair,,MISIONAIR,Spain,N
3521,Missions Gouvernemtales Francaises,,MARIANNE,France,N
3522,Mississippi State University,,BULLDOG,United States,N
3523,Mississippi Valley Airways,,VALAIR,United States,N
3524,Mistral Air,,AIRMERCI,Italy,N
3525,Mobil Oil,,MOBIL,Canada,N
3526,Mocambique Expresso,,MOZAMBIQUE EXPRESS,Mozambique,N
3527,Mofaz Air,,MOFAZ AIR,Malaysia,N
3528,Moldaeroservice,,MOLDAERO,Moldova,N
3529,Moldavian Airlines,2M,MOLDAVIAN,Moldova,Y
3530,Moldova,,MOLDOVA-STATE,Moldova,N
3531,Mombasa Air Safari,,SKYROVER,Kenya,N
3532,Monarch Airlines,ZB,MONARCH,United Kingdom,Y
3533,Monarch Airlines,,MONARCH AIR,United States,N
3534,Myway Airlines,8I,,Italy,Y
3535,Moncton Flying Club,,EAST WIND,Canada,N
3536,Monde Air Charters,,MONDEAIR CARGO,United Kingdom,N
3537,Monerrey Air Taxi,,MONTERREY AIR,Mexico,N
3538,Monky Aerotaxis,,MONKY,Mexico,N
3539,Montenegro Airlines,YM,MONTAIR,Montenegro,Y
3540,Montserrat Airways,,MONTSERRAT,Montserrat,N
3541,Mooney Aircraft Corporation,,MOONEY FLIGHT,United States,N
3542,Morningstar Air Express,,MORNINGSTAR,Canada,Y
3543,Morris Air Service,,WASATCH,United States,N
3544,Morrison Flying Service,,MORRISON,United States,N
3545,Moskovia Airlines,3R,GROMOV AIRLINE,Russia,Y
3546,Mosphil Aero,,MOSPHIL,Philippines,N
3547,Motor Sich,M9,MOTOR SICH,Ukraine,Y
3548,Mount Cook Airlines,NM,MOUNTCOOK,New Zealand,N
3549,Mountain Air Cargo,,MOUNTAIN,United States,N
3550,Mountain Air Company,N4,MOUNTAIN LEONE,Sierra Leone,N
3551,Mountain Air Express,,PIKES PEAK,United States,N
3552,Mountain Air Service,,MOUNTAIN AIR,United States,N
3553,Mountain Bird,,MOUNTAIN BIRD,United States,N
3554,Mountain High Aviation,,MOUNTAIN HIGH,United States,N
3555,Mountain Pacific Air,,MOUNTAIN PACIFIC,Canada,N
3556,Mountain Valley Air Service,,MOUNTAIN VALLEY,United States,N
3557,Mowhawk Airlines,,MOHAWK AIR,United States,N
3558,Mudan Airlines,,,Somali Republic,N
3559,Mudanjiang General Aviation,,MUDANJIANG,China,N
3560,Multi Taxi,,MULTITAXI,Mexico,N
3561,Multi-Aero,,WEBER,United States,N
3562,Multiflight,,YORKAIR,,N
3563,Murmansk Aircompany,,MURMAN AIR,Russia,N
3564,Murray Air,,MURRAY AIR,United States,N
3565,Musrata Air Transport,,MUSRATA AIR,Libya,N
3566,Mustique Airways,,MUSTIQUE,Barbados,N
3567,My Way Airlines,,FRANKY,Italy,N
3568,MyTravel Airways,VZ,KESTREL,United Kingdom,Y
3569,Myanma Airways,UB,UNIONAIR,Myanmar,Y
3570,Myanmar Airways International,8M,assignment postponed,Myanmar,Y
3571,Myflug,,MYFLUG,Iceland,Y
3572,Mytravel Airways,,VIKING,Denmark,N
3573,NEL Cargo,,NELCARGO,Ivory Coast,N
3574,NHT Lineas Aereas,,HELGA,Brazil,N
3575,NZ Warbirds Association,,WARBIRDS,New Zealand,N
3576,Nacoia Lda,,AIR NACOIA,Angola,N
3577,Nada Air Service,,NADA AIR,Chad,N
3578,Compangnie Nationale Naganagani,,,Burkina Faso,N
3579,Nahanni Air Services Ltd,,NAHANNI,Canada,N
3580,Nakheel Aviation,,NAKHEEL,United Arab Emirates,N
3581,Namibia Commerical Aviation,,MED RESCUE,Namibia,N
3582,Namibian Defence Force,,NAMIBIAN AIR FORCE,Namibia,N
