id,full name,code,acronym,country,finantial
1495,Baltyka,,BALTYKA,Ukraine,N
1496,Baltia Air Lines,,BALTIA FLIGHT,United States,N
1497,Botir-Avia,,BOTIR-AVIA,Kyrgyzstan,N
1498,Business Express,,BIZEX,United States,N
1499,BT-Slavuta,,BEETEE-SLAVUTA,Ukraine,N
1500,Metro Batavia,7P,BATAVIA,Indonesia,Y
1501,Bulgarian Air Charter,,BULGARIAN CHARTER,Bulgaria,N
1502,Blue Airlines,,BLUE AIRLINES,Democratic Republic of the Congo,N
1503,Buryat Airlines Aircompany,,BURAL,Russia,N
1504,Buzz Stansted,,BUZZ,United Kingdom,N
1505,Buffalo Airways,,BUFFALO AIR,United States,N
1506,Bulgarian Aeronautical Centre,,BULGARIAN WINGS,Bulgaria,N
1507,Baron Aviation Services,,SHOW-ME,United States,N
1508,Berjaya Air,J8,BERJAYA,Malaysia,Y
1509,Bellview Airlines,, Sierra Leone,,N
1510,Blue Wings,QW,BLUE WINGS,Germany,Y
1511,Blue Wing Airlines,,BLUE TAIL,Suriname,N
1512,BWA (2002) Ltd,,BRITWORLD,United Kingdom,N
1513,Bahrain Executive Air Services,,BEXAIR,Bahrain,N
1514,Bar XH Air,,PALLISER,Canada,N
1515,Brussels International Airlines,,XENIA,Belgium,N
1516,BAX Global,8W,,,N
1517,Redding Aero Enterprises,,BOXER,United States,N
1518,Berry Aviation,,BERRY,United States,N
1519,Bylina Joint-Stock Company,,BYLINA,Russia,N
1520,Berytos Airlines,,,Lebanon,N
1521,Bayu Indonesia Air,BM,BAYU,Indonesia,N
1522,Bizair Fluggesellschaft,,BERLIN BEAR,Germany,N
1523,Brit Air,DB,BRITAIR,France,Y
1524,Butane Buzzard Aviation Corporation,,BUZZARD,United Kingdom,N
1525,Business Flight Salzburg,,AUSTROJET,Austria,N
1526,BKS Air (Rivaflecha),,COSMOS,Spain,N
1527,Bristol Flying Centre,,CLIFTON,United Kingdom,N
1528,Barnes Olsen Aeroleasing,,SEELINE,United Kingdom,N
1529,Baltimore Air Transport,,CORPJET,United States,N
1530,Boston-Maine Airways,E9,CLIPPER CONNECTION,United States,N
1531,Brussels Airlines,SN,BEE-LINE,Belgium,Y
1532,Baltimore Airways,,EASTERN,United States,N
1533,Bond Aviation,,BOND AVIATION,Italy,N
1534,Brazilian Army Aviation,,BRAZILIAN ARMY,Brazil,N
1535,Business Express Delivery,,EXPRESS AIR,Canada,N
1536,Bel Limited,,,Russia,N
1537,Bangkok Aviation Center,,THAI HAWK,Thailand,N
1538,Benair,,SCOOP,Norway,N
1539,Binter Canarias,NT,,Spain,Y
1540,Bonyad Airlines,,BONYAD AIR,Iran,N
1541,Burundaiavia,,RERUN,Kazakhstan,N
1542,Blue Air,0B,BLUE TRANSPORT,Romania,Y
1543,British Mediterranean Airways,KJ,BEE MED,United Kingdom,Y
1544,Belle Air,,ALBAN-BELLE,Albania,N
1545,Blom Geomatics,,SWEEPER,Norway,N
1546,Benin Littoral Airways,,LITTORAL,Benin,N
1547,Bombardier Business Jet Solutions,,FLEXJET,United States,N
1548,Bulgaria Air,FB,FLYING BULGARIA,Bulgaria,Y
1549,Brazilian Navy Aviation,,BRAZILIAN NAVY,Brazil,N
1550,Barents AirLink,8N,NORDFLIGHT,Sweden,Y
1551,Belgian Navy,,BELGIAN NAVY,Belgium,N
1552,Bakoji Airlines Services,,BAKO AIR,Nigeria,N
1553,Benders Air,,PALEMA,Sweden,N
1554,Balmoral Central Contracts,,PORTNET,South Africa,N
1555,BGB Air,,BOJBAN,Kazakhstan,N
1556,Butte Aviation,,PIPESTONE,United States,N
1557,Bond Air Services,,RED HEAD,United Kingdom,N
1558,Business Airfreight,,RATTLER,United States,N
1559,BAC Express Airlines,,RAPEX,United Kingdom,N
1560,Boscombe Down DERA (Formation),,BLACKBOX,United Kingdom,N
1561,Business Jet Sweden,,SCANJET,Sweden,N
1562,British Airways Shuttle,,SHUTTLE,United Kingdom,N
1563,British Sky Broadcasting,,SKYNEWS,United Kingdom,N
1564,Bell Helicopter Textron,,TEXTRON,Canada,N
1565,Buzzaway Limited,,UKAY,United Kingdom,N
1566,Biz Jet Charter,,AVOLAR,United States,N
1567,Blue Chip Jet,,BLUE SPEED,Sweden,N
1568,BAE Systems,,AVRO,United Kingdom,N
1569,BAE Systems,,TARNISH,United Kingdom,N
1570,Baseops International,,,United States,N
1571,Bureau Veritas,,,France,N
1572,British Airways,,SANTA,United Kingdom,N
1573,Boskovic Air Charters Limited,,BOSKY,Kenya,N
1574,C Air Jet Airlines,,SYRJET,Syrian Arab Republic,N
1575,C N Air,,CAPRI,Spain,N
1576,C and M Aviation,,TRANSPAC,United States,N
1577,C&M Airways,,RED WING,United States,N
1578,C.S.P.,, Societe,AIR-MAUR,N
1579,CABI,,CABI,Ukraine,N
1580,CAI,,AIRCAI,Italy,N
1581,CAL Cargo Air Lines,5C,CAL,Israel,Y
1582,CAM Air Management,,CAMEO,United Kingdom,N
1583,CATA L,,CATA,Argentina,N
1584,CCF Manager Airline,,TOMCAT,Germany,N
1585,CEDTA (Compania Ecuatoriana De Transportes Aereos),,CEDTA,Ecuador,N
1586,CHC Denmark,,HELIBIRD,Denmark,N
1587,CHC Helicopters,,HEMS,Australia,N
1588,CHC Airways,AW,,Netherlands,N
1589,CHC Helikopter Service,,HELIBUS,Norway,N
1590,CI-Tours,,CI-TOURS,Ivory Coast,N
1591,CKC Services,,,United States,N
1592,CM Stair,,CEE-EM STAIRS,Mauritania,N
1593,CNET,,KNET,France,N
1594,COAPA AIR,,COAPA,Mexico,N
1595,COMAV,,SPEEDSTER,Namibia,N
1596,CRI Helicopters Mexico,,HELI-MEX,Mexico,N
1597,CSA Air,,IRON AIR,United States,N
1598,CSE Aviation,,OXFORD,United Kingdom,N
1599,CTK Network Aviation,,CITYLINK,Ghana,N
1600,Cabair College of Air Training,,CABAIR,United Kingdom,N
1601,Cabo Verde Express,,KABEX,Cape Verde,N
1602,Caernarfon Airworld,,AMBASSADOR,United Kingdom,N
1603,Cairo Air Transport Company,,,Egypt,N
1604,Cal Gulf Aviation,,CAL-GULF,Sao Tome and Principe,N
1605,Cal-West Aviation,,CAL AIR,United States,N
1606,California Air Shuttle,,CALIFORNIA SHUTTLE,United States,N
